Algorithm,n,p,ii,Iopt,Iopt.approx,obj,obj.approx
EXACT,300,20,1,0.077251487,0.076861782,0.160548145,0.15998845
LB_APPROX,300,20,1,0.075154183,0.075067995,0.160074114,0.15980858
CE,300,20,1,0.074006019,0.07399821,0.155513218,0.155510415
EXACT,300,20,2,0.077268868,0.076835281,0.166816834,0.166245674
LB_APPROX,300,20,2,0.074717801,0.074647555,0.165027715,0.164716351
CE,300,20,2,0.073603973,0.073597261,0.160492125,0.160485306
EXACT,300,20,3,0.077346385,0.076813148,0.159195326,0.158931949
LB_APPROX,300,20,3,0.07432894,0.07428067,0.158703279,0.158575098
CE,300,20,3,0.073471511,0.073463823,0.155634179,0.155623606
EXACT,300,20,4,0.078049579,0.077537406,0.168419763,0.166494186
LB_APPROX,300,20,4,0.074998946,0.074928638,0.160329847,0.160043194
CE,300,20,4,0.073949039,0.073942158,0.156129017,0.156114158
EXACT,300,20,5,0.077030292,0.076636963,0.158784202,0.156344764
LB_APPROX,300,20,5,0.074548615,0.074499167,0.15410291,0.153980886
CE,300,20,5,0.073791953,0.073784819,0.152478859,0.15246215
EXACT,300,30,1,0.121681833,0.120240416,0.24288344,0.239881689
LB_APPROX,300,30,1,0.115929796,0.115709233,0.239961879,0.239005396
CE,300,30,1,0.115289234,0.115149099,0.232297244,0.232129801
EXACT,300,30,2,0.123761944,0.12161307,0.250294434,0.247691324
LB_APPROX,300,30,2,0.116635943,0.116319835,0.245228008,0.244666643
CE,300,30,2,0.115441913,0.115286268,0.24248174,0.242185567
EXACT,300,30,3,0.122895576,0.121448615,0.247974867,0.246021719
LB_APPROX,300,30,3,0.11684276,0.116615571,0.239222056,0.238792115
CE,300,30,3,0.116254739,0.116101579,0.237398499,0.2371381
EXACT,300,30,4,0.122115081,0.120631855,0.245792815,0.242333958
LB_APPROX,300,30,4,0.116431393,0.116185419,0.241765482,0.240690453
CE,300,30,4,0.115640656,0.115484888,0.232767539,0.232525952
EXACT,300,30,5,0.12321366,0.121302732,0.250477304,0.246194608
LB_APPROX,300,30,5,0.115895583,0.115635978,0.242307777,0.241104025
CE,300,30,5,0.115042823,0.114900601,0.23801931,0.237489771
