"Algorithm","n","p","ii","Iopt","Iopt.approx","obj","obj.approx"
"MB_SDP",100,4,1,0.0423327888339821,0.0423204955444958,0.0483711927895564,0.0483566353370828
"EXACT",100,4,1,0.0430569654255016,0.0429771126063296,0.0475741832327941,0.0475739419387557
"LB_APPROX",100,4,1,0.0418658786431487,0.0418657599141393,0.047652882277699,0.0476526761896014
"CE",100,4,1,0.0418642696522007,0.0418641546175358,0.0476581961596731,0.0476579669297208
"IP",100,4,1,0.0418658786431487,0.0418657599141393,0.047652882277699,0.0476526761896014
"RAND",100,4,1,0.0437433190745768,0.043614298226225,0.0503494616709127,0.0501925361227975
"MB_SDP",100,4,2,0.0420597056740292,0.0420524124155703,0.05074533045794,0.0507364229889323
"EXACT",100,4,2,0.0422135372243416,0.0421952618601592,0.0502450971237032,0.0502450562882862
"LB_APPROX",100,4,2,0.0416606417445542,0.0416606102696337,0.0502538388852867,0.0502538030187293
"CE",100,4,2,0.0416606417445542,0.0416606102696337,0.0502538388852867,0.0502538030187293
"IP",100,4,2,0.0416606417445542,0.0416606102696337,0.0502538388852867,0.0502538030187293
"RAND",100,4,2,0.0456117196920251,0.044901914355889,0.0570060213741418,0.0545599276782631
"MB_SDP",100,4,3,0.0410398461454989,0.0410376595580708,0.0492982355216223,0.0492942080972159
"EXACT",100,4,3,0.04492155813662,0.0442083605452924,0.0489209111843095,0.0489177607470522
"LB_APPROX",100,4,3,0.0408148660284495,0.0408148066444956,0.0489414642821605,0.0489413664580187
"CE",100,4,3,0.0408148660284495,0.0408148066444956,0.0489414642821605,0.0489413664580187
"IP",100,4,3,0.0408148660284495,0.0408148066444956,0.0489414642821605,0.0489413664580187
"RAND",100,4,3,0.0438796401774288,0.0434583972546644,0.0539856929175524,0.0532458805143543
"MB_SDP",100,4,4,0.0419519731519154,0.0418982088561207,0.0516068542233011,0.0514763205709381
"EXACT",100,4,4,0.0452298199155689,0.044520716181134,0.0495081059048286,0.0495073606411864
"LB_APPROX",100,4,4,0.0409275028267869,0.0409274680367063,0.0495239104804848,0.0495238719976208
"CE",100,4,4,0.0409275028267869,0.0409274680367063,0.0495239104804848,0.0495238719976208
"IP",100,4,4,0.0409275028267869,0.0409274680367063,0.0495239104804848,0.0495238719976208
"RAND",100,4,4,0.0416422944584451,0.0416214342540865,0.0503838753724869,0.0503533631447182
"MB_SDP",100,4,5,0.0411231255004223,0.0411230922570098,0.0479467796400243,0.0479467270463291
"EXACT",100,4,5,0.0425003590411247,0.0424053418298913,0.0479245436504251,0.0479237547028186
"LB_APPROX",100,4,5,0.0411231255004223,0.0411230922570098,0.0479467796400243,0.0479467270463291
"CE",100,4,5,0.0411231255004223,0.0411230922570098,0.0479467796400243,0.0479467270463291
"IP",100,4,5,0.0411231255004223,0.0411230922570098,0.0479467796400243,0.0479467270463291
"RAND",100,4,5,0.0463282501145702,0.0451918017544515,0.0625073197510084,0.0589416860937308
"MB_SDP",100,10,1,0.114703428828984,0.113890566500786,0.169443647713881,0.165701683957402
"EXACT",100,10,1,0.115540435251724,0.114192276487488,0.156802067174783,0.153943237719173
"LB_APPROX",100,10,1,0.109989190243348,0.10991196371934,0.156273781020118,0.156195922237696
"CE",100,10,1,0.108480618944264,0.108470136383463,0.155126244774983,0.155102516670422
"IP",100,10,1,0.10866885331343,0.108650925420631,0.155209209039532,0.155184571173772
"RAND",100,10,1,0.123401707746266,0.11886338070534,0.192553604341208,0.169136437498173
"MB_SDP",100,10,2,0.115084351156847,0.113975377049528,0.179959387436234,0.178881423220411
"EXACT",100,10,2,0.113912127100701,0.11298713056138,0.169157339794817,0.169149933412741
"LB_APPROX",100,10,2,0.107893192348268,0.107876251604951,0.17068191174304,0.170652900010222
"CE",100,10,2,0.107646508999239,0.107636091956333,0.169995057093562,0.169984862123141
"IP",100,10,2,0.107724645923265,0.107713502573751,0.170330169259337,0.170315032589085
"RAND",100,10,2,0.119853829341038,0.117085067132293,0.189413150478811,0.184466711136313
"MB_SDP",100,10,3,0.128823405686014,0.124042286336669,0.227904789504604,0.200469991165071
"EXACT",100,10,3,0.11552002827504,0.115171254776565,0.160461426265407,0.160443423691652
"LB_APPROX",100,10,3,0.112834033340335,0.112797359168862,0.164287098365884,0.164160092774424
"CE",100,10,3,0.112039011077595,0.112031536228933,0.161225389810785,0.161218672101815
"IP",100,10,3,0.112204293557138,0.112192027986569,0.160723775147375,0.160721143729716
"RAND",100,10,3,0.130914252020064,0.125237953436964,0.200129077333414,0.18828456784254
"MB_SDP",100,10,4,0.118410800435843,0.117279147908627,0.16725540818598,0.16595941387046
"EXACT",100,10,4,0.11643039805767,0.115766104385311,0.155309265386372,0.155288241354912
"LB_APPROX",100,10,4,0.111108917418455,0.111090403368465,0.157088074079507,0.157048267840896
"CE",100,10,4,0.110789795189657,0.110780576731397,0.15586748832532,0.155858640946722
"IP",100,10,4,0.110803470051478,0.1107956084299,0.156326164727138,0.156310990211416
"RAND",100,10,4,0.122076454595073,0.119609159472443,0.192426973838741,0.179737289105601
"MB_SDP",100,10,5,0.114411484855844,0.113565604873138,0.158959783604513,0.157292883352003
"EXACT",100,10,5,0.111175691707063,0.110641020843442,0.146631897747995,0.146628658462917
"LB_APPROX",100,10,5,0.107667571673797,0.107650676729952,0.147695203994004,0.147678798209745
"CE",100,10,5,0.107298066005819,0.107291282971044,0.147229148786876,0.147221944495547
"IP",100,10,5,0.10763305312311,0.107615576013859,0.147056173435995,0.147051125896746
"RAND",100,10,5,0.118851044409276,0.116266984173446,0.178396043319267,0.166549021602147
"MB_SDP",100,15,1,0.217199412379931,0.206932920766638,0.397957273834866,0.358525868276098
"EXACT",100,15,1,0.206381621375357,0.199079403502448,0.334434220852314,0.305922258644973
"LB_APPROX",100,15,1,0.186358556851376,0.186176986032204,0.311868259750332,0.311605316130234
"CE",100,15,1,0.186716489054501,0.186448043850453,0.312505362379569,0.312130864078039
"IP",100,15,1,0.18855270469403,0.188144365932538,0.315883495234994,0.315260436657063
"RAND",100,15,1,0.229822012295103,0.211653239081332,0.460727055646303,0.371778731646846
"MB_SDP",100,15,2,0.210271477611823,0.199488947752244,0.405749080769093,0.344643011328531
"EXACT",100,15,2,0.189861351528069,0.187207121257932,0.273623534160246,0.272583202545233
"LB_APPROX",100,15,2,0.178786779363529,0.17858047610063,0.274592084733774,0.274452689574595
"CE",100,15,2,0.179365839632544,0.179088725325114,0.277253706733871,0.27700255669791
"IP",100,15,2,0.180624288522785,0.180252354920622,0.279416117632755,0.279052929650136
"RAND",100,15,2,0.210150504906505,0.199390016999645,0.340280978407328,0.308039339888988
"MB_SDP",100,15,3,0.22337508600426,0.207960243884849,0.422882514925823,0.364745078683334
"EXACT",100,15,3,0.197797936387481,0.193120234742319,0.31263953937158,0.30736890771557
"LB_APPROX",100,15,3,0.181233039034456,0.181044814762255,0.313909077334364,0.313595629051024
