"Algorithm","n","p","ii","Iopt","Iopt.approx","obj","obj.approx"
"MB_SDP",20,3,1,0.689992842919285,0.347175250556378,4.10063550328705,1.70488722265358
"EXACT",20,3,1,0.284421791810416,0.27644879274369,1.19648407416051,1.15088651280455
"LB_APPROX",20,3,1,0.255597478092651,0.253164640559291,1.01247206253622,1.00607388047662
"CE",20,3,1,0.242601771019305,0.242567975439107,0.977487104294928,0.97742840341388
"IP",20,3,1,0.242601771019305,0.242567975439107,0.977487104294928,0.97742840341388
"MB_SDP",20,3,2,0.505198092559472,0.254462187230561,2.60156250075013,1.04110906109668
"EXACT",20,3,2,0.187652352124323,0.187164956403605,0.622749029466369,0.621195905000873
"LB_APPROX",20,3,2,0.198387738530858,0.196319283545065,0.666530032737981,0.658956573998514
"CE",20,3,2,0.18083294124887,0.18083148086346,0.601737901534807,0.60172978074312
"IP",20,3,2,0.180655349971249,0.180654996357271,0.600292581619221,0.600291570105944
"MB_SDP",20,3,3,0.341475069418115,0.260546606587651,1.49215203723297,1.00077947283377
"EXACT",20,3,3,0.272415885222834,0.24453100588057,0.891015934627042,0.809212643556758
"LB_APPROX",20,3,3,0.208279099476778,0.207903491405875,0.696301585966751,0.694700007259561
"CE",20,3,3,0.202208194926526,0.202207693289671,0.670301136478533,0.670299381588427
"IP",20,3,3,0.202034333268476,0.20203417166965,0.669422669749614,0.669422379577024
"MB_SDP",20,3,4,0.373447455494014,0.250326907207347,1.53212611479092,0.889945784103704
"EXACT",20,3,4,0.199248556017584,0.198158061299511,0.609423335789714,0.606964631564587
"LB_APPROX",20,3,4,0.19356647600626,0.193321282809112,0.603407190478153,0.602420961526814
"CE",20,3,4,0.189054144617066,0.189053548814587,0.585645938058694,0.585642818109302
"IP",20,3,4,0.188866873703778,0.188866838085162,0.584603013044937,0.584602913666786
"MB_SDP",20,3,5,0.249967806324926,0.217784713706367,0.795802810143512,0.63981670177974
"EXACT",20,3,5,0.195141334783387,0.188915424109783,0.582276183279785,0.547503074674548
"LB_APPROX",20,3,5,0.228543297343677,0.204655089738158,0.753890688524672,0.619319261408169
"CE",20,3,5,0.172511109004581,0.172503196515386,0.454403280275652,0.454391066391037
"IP",20,3,5,0.172511109004581,0.172503196515386,0.454403280275652,0.454391066391037
"MB_SDP",20,4,1,0.345436394367643,0.289425044485496,1.23969385782073,0.909715798484215
"EXACT",20,4,1,0.263565272498537,0.258998132438133,0.719285315514585,0.705732407327577
"LB_APPROX",20,4,1,0.314059917111992,0.275382466221687,0.947022693559858,0.781647635128695
"CE",20,4,1,0.236776503442337,0.236764774844743,0.642422406297942,0.642364356090624
"IP",20,4,1,0.236776503442337,0.236764774844743,0.642422406297942,0.642364356090624
"MB_SDP",20,4,2,0.437282769087636,0.327780652302757,1.11475958606809,0.792746563853809
"EXACT",20,4,2,0.311503288755405,0.275889403178776,0.859112512486737,0.640485408259913
"LB_APPROX",20,4,2,0.267436567336847,0.26302349788031,0.699870989780659,0.68194764660231
